                                                                                                                                                                                                                                  
  id   key                                                                                                 provider     diagnostic                                dirty   successful   created_at            updated_at           
  65   cmip6_hist-GHG_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                         pmp          extratropical-modes-of-variability-pna    False   True         2025-05-28 14:08:39   2025-05-28 14:16:54  
  66   cmip6_hist-GHG_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                         pmp          extratropical-modes-of-variability-pna    False   True         2025-05-28 14:08:39   2025-05-28 14:16:59  
  67   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                       pmp          extratropical-modes-of-variability-pna    False   True         2025-05-28 14:08:39   2025-05-28 14:17:07  
  68   cmip6_historical_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                       pmp          extratropical-modes-of-variability-pna    False   True         2025-05-28 14:08:39   2025-05-28 14:17:11  
  69   cmip6_hist-GHG_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                         pmp          extratropical-modes-of-variability-npo    False   True         2025-05-28 14:08:39   2025-05-28 14:17:07  
  70   cmip6_hist-GHG_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                         pmp          extratropical-modes-of-variability-npo    False   True         2025-05-28 14:08:39   2025-05-28 14:17:15  
  71   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                       pmp          extratropical-modes-of-variability-npo    False   True         2025-05-28 14:08:39   2025-05-28 14:17:22  
  72   cmip6_historical_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                       pmp          extratropical-modes-of-variability-npo    False   True         2025-05-28 14:08:39   2025-05-28 14:17:25  
  73   cmip6_hist-GHG_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                         pmp          extratropical-modes-of-variability-sam    False   True         2025-05-28 14:08:39   2025-05-28 14:17:50  
  74   cmip6_hist-GHG_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                         pmp          extratropical-modes-of-variability-sam    False   True         2025-05-28 14:08:39   2025-05-28 14:17:52  
  75   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                       pmp          extratropical-modes-of-variability-sam    False   True         2025-05-28 14:08:39   2025-05-28 14:18:00  
  76   cmip6_historical_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                       pmp          extratropical-modes-of-variability-sam    False   True         2025-05-28 14:08:39   2025-05-28 14:18:17  
                                                                                                                                                                                                                                  
