                                                                                                                                                                                                                                  
  id   key                                                                                                 provider     diagnostic                                dirty   successful   created_at            updated_at           
  51   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_HadISST-1-1_ts                                 pmp          extratropical-modes-of-variability-pdo    False   True         2025-07-04 17:44:12   2025-07-04 17:52:30  
  52   cmip6_historical_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_HadISST-1-1_ts                                 pmp          extratropical-modes-of-variability-pdo    False   True         2025-07-04 17:44:12   2025-07-04 17:52:31  
  53   cmip6_hist-GHG_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_HadISST-1-1_ts                                   pmp          extratropical-modes-of-variability-npgo   False   True         2025-07-04 17:44:12   2025-07-04 17:52:31  
  54   cmip6_hist-GHG_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_HadISST-1-1_ts                                   pmp          extratropical-modes-of-variability-npgo   False   True         2025-07-04 17:44:12   2025-07-04 17:52:31  
  55   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_HadISST-1-1_ts                                 pmp          extratropical-modes-of-variability-npgo   False   True         2025-07-04 17:44:12   2025-07-04 17:52:31  
  56   cmip6_historical_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_HadISST-1-1_ts                                 pmp          extratropical-modes-of-variability-npgo   False   True         2025-07-04 17:44:12   2025-07-04 17:52:31  
  57   cmip6_hist-GHG_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                         pmp          extratropical-modes-of-variability-nao    False   True         2025-07-04 17:44:12   2025-07-04 17:52:32  
  58   cmip6_hist-GHG_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                         pmp          extratropical-modes-of-variability-nao    False   True         2025-07-04 17:44:12   2025-07-04 17:52:33  
  59   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                       pmp          extratropical-modes-of-variability-nao    False   True         2025-07-04 17:44:12   2025-07-04 17:52:33  
  60   cmip6_historical_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                       pmp          extratropical-modes-of-variability-nao    False   True         2025-07-04 17:44:12   2025-07-04 17:52:33  
  61   cmip6_hist-GHG_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                         pmp          extratropical-modes-of-variability-nam    False   True         2025-07-04 17:44:12   2025-07-04 17:52:34  
  62   cmip6_hist-GHG_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                         pmp          extratropical-modes-of-variability-nam    False   True         2025-07-04 17:44:12   2025-07-04 17:52:34  
  63   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                       pmp          extratropical-modes-of-variability-nam    False   True         2025-07-04 17:44:12   2025-07-04 17:52:34  
  64   cmip6_historical_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                       pmp          extratropical-modes-of-variability-nam    False   True         2025-07-04 17:44:12   2025-07-04 17:52:35  
  65   cmip6_hist-GHG_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                         pmp          extratropical-modes-of-variability-pna    False   True         2025-07-04 17:44:12   2025-07-04 17:52:53  
  66   cmip6_hist-GHG_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                         pmp          extratropical-modes-of-variability-pna    False   True         2025-07-04 17:44:12   2025-07-04 17:53:00  
  67   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                       pmp          extratropical-modes-of-variability-pna    False   True         2025-07-04 17:44:12   2025-07-04 17:53:08  
  68   cmip6_historical_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                       pmp          extratropical-modes-of-variability-pna    False   True         2025-07-04 17:44:12   2025-07-04 17:53:17  
  69   cmip6_hist-GHG_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                         pmp          extratropical-modes-of-variability-npo    False   True         2025-07-04 17:44:12   2025-07-04 17:53:13  
  70   cmip6_hist-GHG_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                         pmp          extratropical-modes-of-variability-npo    False   True         2025-07-04 17:44:12   2025-07-04 17:53:20  
  71   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                       pmp          extratropical-modes-of-variability-npo    False   True         2025-07-04 17:44:12   2025-07-04 17:53:31  
  72   cmip6_historical_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                       pmp          extratropical-modes-of-variability-npo    False   True         2025-07-04 17:44:12   2025-07-04 17:53:38  
  73   cmip6_hist-GHG_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                         pmp          extratropical-modes-of-variability-sam    False   True         2025-07-04 17:44:12   2025-07-04 17:53:57  
  74   cmip6_hist-GHG_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                         pmp          extratropical-modes-of-variability-sam    False   True         2025-07-04 17:44:12   2025-07-04 17:54:05  
  75   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                       pmp          extratropical-modes-of-variability-sam    False   True         2025-07-04 17:44:12   2025-07-04 17:54:14  
  76   cmip6_historical_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                       pmp          extratropical-modes-of-variability-sam    False   True         2025-07-04 17:44:12   2025-07-04 17:54:21  
                                                                                                                                                                                                                                  
